"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","09",8447,43018,19.6359663396718,15.6062930745089,1.26,"CDMX","Alto"
"2","05",2035,10591,19.2144273439713,15.6062930745089,1.23,"Coahuila","Alto"
"3","11",3726,19938,18.6879325910322,15.6062930745089,1.2,"Guanajuato","Alto"
"4","15",9554,51542,18.536339296108,15.6062930745089,1.19,"México","Alto"
"5","29",775,4261,18.1882187279981,15.6062930745089,1.17,"Tlaxcala","Alto"
"6","28",2123,12178,17.4330760387584,15.6062930745089,1.12,"Tamaulipas","Alto"
"7","10",1116,6570,16.986301369863,15.6062930745089,1.09,"Durango","Alto"
"8","01",663,4031,16.4475316298685,15.6062930745089,1.05,"Aguascalientes","Alto"
"9","17",1148,7135,16.0896986685354,15.6062930745089,1.03,"Morelos","Alto"
"10","16",2910,18332,15.8738817368536,15.6062930745089,1.02,"Michoacán","Alto"
"11","21",3888,24532,15.8486874286646,15.6062930745089,1.02,"Puebla","Alto"
"12","27",1246,7827,15.9192538648269,15.6062930745089,1.02,"Tabasco","Alto"
"13","30",5213,34276,15.2088925195472,15.6062930745089,0.97,"Veracruz","Moderado"
"14","04",416,2770,15.0180505415162,15.6062930745089,0.96,"Campeche","Moderado"
"15","19",2596,17347,14.9651236525048,15.6062930745089,0.96,"Nuevo León","Moderado"
"16","22",894,5984,14.9398395721925,15.6062930745089,0.96,"Querétaro","Moderado"
"17","06",369,2497,14.7777332799359,15.6062930745089,0.95,"Colima","Moderado"
"18","14",4352,30318,14.3545088726169,15.6062930745089,0.92,"Jalisco","Moderado"
"19","13",1437,10191,14.1006770680012,15.6062930745089,0.9,"Hidalgo","Moderado"
"20","24",1449,10296,14.0734265734266,15.6062930745089,0.9,"San Luis Potosí","Moderado"
"21","32",894,6387,13.9971817754814,15.6062930745089,0.9,"Zacatecas","Moderado"
"22","08",2194,15870,13.8248267170762,15.6062930745089,0.89,"Chihuahua","Moderado"
"23","02",1571,11498,13.6632457818751,15.6062930745089,0.88,"Baja California","Moderado"
"24","12",1576,11979,13.1563569580099,15.6062930745089,0.84,"Guerrero","Moderado"
"25","26",1433,11016,13.0083514887436,15.6062930745089,0.83,"Sonora","Moderado"
"26","18",567,4415,12.8425821064553,15.6062930745089,0.82,"Nayarit","Moderado"
"27","25",1284,10288,12.4805598755832,15.6062930745089,0.8,"Sinaloa","Moderado"
"28","31",1065,8747,12.1756030639076,15.6062930745089,0.78,"Yucatán","Moderado"
"29","23",398,3329,11.9555422048663,15.6062930745089,0.77,"Quintana Roo","Moderado"
"30","03",236,2117,11.1478507321682,15.6062930745089,0.71,"Baja California Sur","Moderado"
"31","20",1942,17558,11.0604852488894,15.6062930745089,0.71,"Oaxaca","Moderado"
"32","07",1752,17015,10.2967969438731,15.6062930745089,0.66,"Chiapas","Moderado"
