"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",2245,10736,20.9109538002981,16.0436073271002,1.3,"Coahuila","Alto"
"2","29",860,4270,20.1405152224824,16.0436073271002,1.26,"Tlaxcala","Alto"
"3","09",8634,43770,19.7258396161755,16.0436073271002,1.23,"CDMX","Alto"
"4","11",4103,21001,19.5371648969097,16.0436073271002,1.22,"Guanajuato","Alto"
"5","15",10152,53237,19.0694441835565,16.0436073271002,1.19,"México","Alto"
"6","17",1385,7566,18.3055775839281,16.0436073271002,1.14,"Morelos","Alto"
"7","27",1426,8110,17.5832305795314,16.0436073271002,1.1,"Tabasco","Alto"
"8","28",2211,12659,17.4658345840904,16.0436073271002,1.09,"Tamaulipas","Alto"
"9","16",3142,18893,16.6304980680675,16.0436073271002,1.04,"Michoacán","Alto"
"10","06",434,2618,16.5775401069519,16.0436073271002,1.03,"Colima","Alto"
"11","21",4129,25191,16.3907744829503,16.0436073271002,1.02,"Puebla","Alto"
"12","19",2783,17635,15.7811170966827,16.0436073271002,0.98,"Nuevo León","Moderado"
"13","30",5621,35652,15.7662964209582,16.0436073271002,0.98,"Veracruz","Moderado"
"14","10",1165,7463,15.6103443655366,16.0436073271002,0.97,"Durango","Moderado"
"15","14",4842,31020,15.6092843326886,16.0436073271002,0.97,"Jalisco","Moderado"
"16","01",659,4296,15.3398510242086,16.0436073271002,0.96,"Aguascalientes","Moderado"
"17","24",1622,10641,15.2429282962128,16.0436073271002,0.95,"San Luis Potosí","Moderado"
"18","04",462,3054,15.1277013752456,16.0436073271002,0.94,"Campeche","Moderado"
"19","22",954,6498,14.6814404432133,16.0436073271002,0.92,"Querétaro","Moderado"
"20","13",1575,10788,14.5995550611791,16.0436073271002,0.91,"Hidalgo","Moderado"
"21","12",1765,12497,14.1233896135072,16.0436073271002,0.88,"Guerrero","Moderado"
"22","32",940,6693,14.0445241296877,16.0436073271002,0.88,"Zacatecas","Moderado"
"23","18",627,4671,13.4232498394348,16.0436073271002,0.84,"Nayarit","Moderado"
"24","03",277,2108,13.1404174573055,16.0436073271002,0.82,"Baja California Sur","Moderado"
"25","23",441,3408,12.9401408450704,16.0436073271002,0.81,"Quintana Roo","Moderado"
"26","26",1512,11698,12.9252863737391,16.0436073271002,0.81,"Sonora","Moderado"
"27","02",1558,12494,12.4699855930847,16.0436073271002,0.78,"Baja California","Moderado"
"28","25",1476,11823,12.4841410809439,16.0436073271002,0.78,"Sinaloa","Moderado"
"29","31",1093,9079,12.0387707897346,16.0436073271002,0.75,"Yucatán","Moderado"
"30","08",2239,18827,11.8924948212673,16.0436073271002,0.74,"Chihuahua","Moderado"
"31","20",2107,17883,11.7821394620589,16.0436073271002,0.73,"Oaxaca","Moderado"
"32","07",1982,17588,11.2690470775529,16.0436073271002,0.7,"Chiapas","Moderado"
