"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","27",2626,10390,25.274302213667,17.6739547788805,1.43,"Tabasco","Alto"
"2","29",1299,5292,24.546485260771,17.6739547788805,1.39,"Tlaxcala","Alto"
"3","15",15022,68758,21.8476395473981,17.6739547788805,1.24,"México","Alto"
"4","21",6617,31107,21.2717394798598,17.6739547788805,1.2,"Puebla","Alto"
"5","17",2104,10249,20.5288320811787,17.6739547788805,1.16,"Morelos","Alto"
"6","11",5732,29062,19.7233500791411,17.6739547788805,1.12,"Guanajuato","Alto"
"7","30",8744,44076,19.8384608403666,17.6739547788805,1.12,"Veracruz","Alto"
"8","5",2705,13955,19.3837334288785,17.6739547788805,1.1,"Coahuila","Alto"
"9","9",9772,52212,18.7160039837585,17.6739547788805,1.06,"CDMX","Alto"
"10","16",4298,23029,18.6634243779582,17.6739547788805,1.06,"Michoacán","Alto"
"11","4",712,3919,18.1678999744833,17.6739547788805,1.03,"Campeche","Alto"
"12","12",3078,16832,18.2865969581749,17.6739547788805,1.03,"Guerrero","Alto"
"13","28",2958,16629,17.7882013350171,17.6739547788805,1.01,"Tamaulipas","Alto"
"14","13",2230,13445,16.586091483823,17.6739547788805,0.94,"Hidalgo","Moderado"
"15","7",3763,23223,16.2037635103131,17.6739547788805,0.92,"Chiapas","Moderado"
"16","20",3423,21491,15.9275975989949,17.6739547788805,0.9,"Oaxaca","Moderado"
"17","24",2217,13932,15.9130060292851,17.6739547788805,0.9,"San Luis Potosí","Moderado"
"18","14",6248,39976,15.6293776265759,17.6739547788805,0.88,"Jalisco","Moderado"
"19","1",792,5366,14.7595974655237,17.6739547788805,0.84,"Aguascalientes","Moderado"
"20","19",3487,23433,14.8807237656297,17.6739547788805,0.84,"Nuevo León","Moderado"
"21","23",830,5594,14.8373257061137,17.6739547788805,0.84,"Quintana Roo","Moderado"
"22","10",1203,8246,14.5888915837982,17.6739547788805,0.83,"Durango","Moderado"
"23","2",2377,16696,14.2369429803546,17.6739547788805,0.81,"Baja California","Moderado"
"24","22",1300,9061,14.3472022955524,17.6739547788805,0.81,"Querétaro","Moderado"
"25","32",1184,8313,14.2427523156502,17.6739547788805,0.81,"Zacatecas","Moderado"
"26","18",867,6109,14.1921754788018,17.6739547788805,0.8,"Nayarit","Moderado"
"27","31",1570,11066,14.1876016627508,17.6739547788805,0.8,"Yucatán","Moderado"
"28","6",565,4028,14.0268123138034,17.6739547788805,0.79,"Colima","Moderado"
"29","25",1776,14503,12.245742260222,17.6739547788805,0.69,"Sinaloa","Moderado"
"30","8",2559,21243,12.0463211410818,17.6739547788805,0.68,"Chihuahua","Moderado"
"31","26",1786,14943,11.9520845881015,17.6739547788805,0.68,"Sonora","Moderado"
"32","3",368,3458,10.641989589358,17.6739547788805,0.6,"Baja California Sur","Moderado"
