"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",1307,8895,14.6936481169196,10.1906132796741,1.44,"Coahuila","Alto"
"2","09",5695,41078,13.8638687375237,10.1906132796741,1.36,"CDMX","Alto"
"3","28",1345,10203,13.1823973341174,10.1906132796741,1.29,"Tamaulipas","Alto"
"4","10",699,5407,12.9276863325319,10.1906132796741,1.27,"Durango","Alto"
"5","01",408,3375,12.0888888888889,10.1906132796741,1.19,"Aguascalientes","Alto"
"6","11",2332,19427,12.0039120811242,10.1906132796741,1.18,"Guanajuato","Alto"
"7","17",715,6133,11.6582422957769,10.1906132796741,1.14,"Morelos","Alto"
"8","19",1639,14297,11.4639434846471,10.1906132796741,1.12,"Nuevo León","Alto"
"9","15",5304,46791,11.3355132397256,10.1906132796741,1.11,"México","Alto"
"10","14",3044,27638,11.0138215500398,10.1906132796741,1.08,"Jalisco","Alto"
"11","06",226,2144,10.5410447761194,10.1906132796741,1.03,"Colima","Alto"
"12","26",998,9493,10.5130095860107,10.1906132796741,1.03,"Sonora","Alto"
"13","29",413,3943,10.4742581790515,10.1906132796741,1.03,"Tlaxcala","Alto"
"14","27",687,7102,9.67333145592791,10.1906132796741,0.95,"Tabasco","Moderado"
"15","02",953,9957,9.5711559706739,10.1906132796741,0.94,"Baja California","Moderado"
"16","03",135,1418,9.52045133991537,10.1906132796741,0.93,"Baja California Sur","Moderado"
"17","16",1591,16875,9.42814814814815,10.1906132796741,0.93,"Michoacán","Moderado"
"18","25",875,9355,9.35328701229289,10.1906132796741,0.92,"Sinaloa","Moderado"
"19","22",498,5452,9.13426265590609,10.1906132796741,0.9,"Querétaro","Moderado"
"20","21",2172,24241,8.96002640155109,10.1906132796741,0.88,"Puebla","Moderado"
"21","08",1248,14138,8.8272740132975,10.1906132796741,0.87,"Chihuahua","Moderado"
"22","30",2588,29836,8.67408499798901,10.1906132796741,0.85,"Veracruz","Moderado"
"23","13",789,9347,8.44121108377019,10.1906132796741,0.83,"Hidalgo","Moderado"
"24","24",808,9693,8.33591251418549,10.1906132796741,0.82,"San Luis Potosí","Moderado"
"25","18",314,3805,8.25229960578186,10.1906132796741,0.81,"Nayarit","Moderado"
"26","31",633,7685,8.23682498373455,10.1906132796741,0.81,"Yucatán","Moderado"
"27","04",200,2509,7.97130330809087,10.1906132796741,0.78,"Campeche","Moderado"
"28","23",153,1930,7.92746113989637,10.1906132796741,0.78,"Quintana Roo","Moderado"
"29","32",483,6097,7.92192881745121,10.1906132796741,0.78,"Zacatecas","Moderado"
"30","12",800,10172,7.86472670074715,10.1906132796741,0.77,"Guerrero","Moderado"
"31","20",1027,17538,5.85585585585586,10.1906132796741,0.57,"Oaxaca","Moderado"
"32","07",841,15572,5.40071923966093,10.1906132796741,0.53,"Chiapas","Moderado"
