"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",913,4558,20.0307152259763,15.5588567307391,1.29,"Tlaxcala","Alto"
"2","15",11471,57913,19.8072971526255,15.5588567307391,1.27,"México","Alto"
"3","09",8744,45885,19.0563364934074,15.5588567307391,1.22,"CDMX","Alto"
"4","11",4077,22473,18.141770124149,15.5588567307391,1.17,"Guanajuato","Alto"
"5","27",1654,9061,18.2540558437259,15.5588567307391,1.17,"Tabasco","Alto"
"6","05",2216,12424,17.8364455891822,15.5588567307391,1.15,"Coahuila","Alto"
"7","21",4752,26492,17.9374905631889,15.5588567307391,1.15,"Puebla","Alto"
"8","16",3467,20616,16.8170353123787,15.5588567307391,1.08,"Michoacán","Alto"
"9","30",6481,38936,16.6452640230121,15.5588567307391,1.07,"Veracruz","Alto"
"10","17",1372,8281,16.5680473372781,15.5588567307391,1.06,"Morelos","Alto"
"11","28",2386,14494,16.4619842693528,15.5588567307391,1.06,"Tamaulipas","Alto"
"12","06",481,3033,15.8588855918233,15.5588567307391,1.02,"Colima","Alto"
"13","13",1718,11432,15.0279916025192,15.5588567307391,0.97,"Hidalgo","Moderado"
"14","14",5203,35125,14.8128113879004,15.5588567307391,0.95,"Jalisco","Moderado"
"15","04",478,3258,14.6715776550031,15.5588567307391,0.94,"Campeche","Moderado"
"16","12",2151,15690,13.7093690248566,15.5588567307391,0.88,"Guerrero","Moderado"
"17","22",945,6908,13.6797915460336,15.5588567307391,0.88,"Querétaro","Moderado"
"18","03",309,2293,13.4757959005669,15.5588567307391,0.87,"Baja California Sur","Moderado"
"19","24",1549,11455,13.5224792666958,15.5588567307391,0.87,"San Luis Potosí","Moderado"
"20","20",2438,18481,13.1919268437855,15.5588567307391,0.85,"Oaxaca","Moderado"
"21","01",569,4365,13.0355097365407,15.5588567307391,0.84,"Aguascalientes","Moderado"
"22","02",1662,13260,12.5339366515837,15.5588567307391,0.81,"Baja California","Moderado"
"23","23",488,3921,12.445804641673,15.5588567307391,0.8,"Quintana Roo","Moderado"
"24","26",1640,13112,12.5076266015863,15.5588567307391,0.8,"Sonora","Moderado"
"25","18",667,5422,12.3017336776097,15.5588567307391,0.79,"Nayarit","Moderado"
"26","19",2611,21302,12.2570650643132,15.5588567307391,0.79,"Nuevo León","Moderado"
"27","32",864,7124,12.128017967434,15.5588567307391,0.78,"Zacatecas","Moderado"
"28","10",983,8291,11.8562296466048,15.5588567307391,0.76,"Durango","Moderado"
"29","07",2226,18973,11.7324619195699,15.5588567307391,0.75,"Chiapas","Moderado"
"30","31",1122,9641,11.6377969090343,15.5588567307391,0.75,"Yucatán","Moderado"
"31","25",1563,14106,11.0803913228413,15.5588567307391,0.71,"Sinaloa","Moderado"
"32","08",2190,21931,9.98586475764899,15.5588567307391,0.64,"Chihuahua","Moderado"
