"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",1893,9565,19.790904338735,14.1065982710387,1.4,"Coahuila","Alto"
"2","09",7500,41086,18.2543932239692,14.1065982710387,1.29,"CDMX","Alto"
"3","28",1827,10635,17.179125528914,14.1065982710387,1.22,"Tamaulipas","Alto"
"4","11",3085,19408,15.8955070074196,14.1065982710387,1.13,"Guanajuato","Alto"
"5","15",7722,48485,15.9265752294524,14.1065982710387,1.13,"México","Alto"
"6","29",609,3867,15.7486423584174,14.1065982710387,1.12,"Tlaxcala","Alto"
"7","17",921,6286,14.6516067451479,14.1065982710387,1.04,"Morelos","Alto"
"8","21",3465,23563,14.7052582438569,14.1065982710387,1.04,"Puebla","Alto"
"9","10",836,5728,14.5949720670391,14.1065982710387,1.03,"Durango","Alto"
"10","01",541,3752,14.4189765458422,14.1065982710387,1.02,"Aguascalientes","Alto"
"11","16",2361,16762,14.0854313327765,14.1065982710387,1,"Michoacán","Moderado"
"12","14",4032,28863,13.969441845962,14.1065982710387,0.99,"Jalisco","Moderado"
"13","27",1010,7299,13.8375119879436,14.1065982710387,0.98,"Tabasco","Moderado"
"14","19",2099,15292,13.7261313104891,14.1065982710387,0.97,"Nuevo León","Moderado"
"15","30",4254,31864,13.3504895807181,14.1065982710387,0.95,"Veracruz","Moderado"
"16","25",1298,9742,13.323752822829,14.1065982710387,0.94,"Sinaloa","Moderado"
"17","04",322,2505,12.8542914171657,14.1065982710387,0.91,"Campeche","Moderado"
"18","06",274,2168,12.6383763837638,14.1065982710387,0.9,"Colima","Moderado"
"19","26",1313,10384,12.6444530046225,14.1065982710387,0.9,"Sonora","Moderado"
"20","22",715,5730,12.478184991274,14.1065982710387,0.88,"Querétaro","Moderado"
"21","24",1206,9846,12.2486288848263,14.1065982710387,0.87,"San Luis Potosí","Moderado"
"22","12",1223,10158,12.0397716085844,14.1065982710387,0.85,"Guerrero","Moderado"
"23","13",1081,9008,12.0004440497336,14.1065982710387,0.85,"Hidalgo","Moderado"
"24","02",1269,10649,11.9166118884402,14.1065982710387,0.84,"Baja California","Moderado"
"25","08",1805,15228,11.8531652219595,14.1065982710387,0.84,"Chihuahua","Moderado"
"26","18",465,3992,11.6482965931864,14.1065982710387,0.83,"Nayarit","Moderado"
"27","32",724,6229,11.6230534596243,14.1065982710387,0.82,"Zacatecas","Moderado"
"28","31",920,8190,11.2332112332112,14.1065982710387,0.8,"Yucatán","Moderado"
"29","03",194,1731,11.2073945696129,14.1065982710387,0.79,"Baja California Sur","Moderado"
"30","20",1617,16454,9.82739759329039,14.1065982710387,0.7,"Oaxaca","Moderado"
"31","23",227,2526,8.98653998416469,14.1065982710387,0.64,"Quintana Roo","Moderado"
"32","07",1382,15507,8.91210421100148,14.1065982710387,0.63,"Chiapas","Moderado"
