"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",1100,5010,21.9560878243513,17.32276831642,1.27,"Tlaxcala","Alto"
"2","27",2247,10419,21.5663691333141,17.32276831642,1.24,"Tabasco","Alto"
"3","15",13625,64188,21.2267090421886,17.32276831642,1.23,"México","Alto"
"4","11",5120,25050,20.439121756487,17.32276831642,1.18,"Guanajuato","Alto"
"5","21",5751,28766,19.9923520823194,17.32276831642,1.15,"Puebla","Alto"
"6","05",2645,13522,19.5607158704334,17.32276831642,1.13,"Coahuila","Alto"
"7","30",8577,43777,19.5924800694429,17.32276831642,1.13,"Veracruz","Alto"
"8","09",9511,49973,19.0322774298121,17.32276831642,1.1,"CDMX","Alto"
"9","17",1793,9443,18.9876098697448,17.32276831642,1.1,"Morelos","Alto"
"10","28",2943,15757,18.6774132131751,17.32276831642,1.08,"Tamaulipas","Alto"
"11","16",3939,21534,18.2920033435497,17.32276831642,1.06,"Michoacán","Alto"
"12","06",660,3748,17.6093916755603,17.32276831642,1.02,"Colima","Alto"
"13","12",3084,17561,17.5616422754968,17.32276831642,1.01,"Guerrero","Alto"
"14","13",2082,12513,16.6386957564133,17.32276831642,0.96,"Hidalgo","Moderado"
"15","01",800,4836,16.5425971877585,17.32276831642,0.95,"Aguascalientes","Moderado"
"16","23",806,4932,16.3422546634225,17.32276831642,0.94,"Quintana Roo","Moderado"
"17","04",648,4066,15.9370388588293,17.32276831642,0.92,"Campeche","Moderado"
"18","14",5851,37290,15.6905336551354,17.32276831642,0.91,"Jalisco","Moderado"
"19","20",3235,21099,15.3324802123323,17.32276831642,0.89,"Oaxaca","Moderado"
"20","19",3230,21857,14.7778743651919,17.32276831642,0.85,"Nuevo León","Moderado"
"21","22",1163,7871,14.7757591157413,17.32276831642,0.85,"Querétaro","Moderado"
"22","07",3378,23141,14.5974676980251,17.32276831642,0.84,"Chiapas","Moderado"
"23","18",776,5411,14.3411569026058,17.32276831642,0.83,"Nayarit","Moderado"
"24","24",1766,12397,14.2453819472453,17.32276831642,0.82,"San Luis Potosí","Moderado"
"25","32",1086,7752,14.0092879256966,17.32276831642,0.81,"Zacatecas","Moderado"
"26","10",1085,7890,13.7515842839037,17.32276831642,0.79,"Durango","Moderado"
"27","02",1979,15173,13.0429051604824,17.32276831642,0.75,"Baja California","Moderado"
"28","31",1511,11771,12.8366324016651,17.32276831642,0.74,"Yucatán","Moderado"
"29","03",350,2825,12.3893805309735,17.32276831642,0.72,"Baja California Sur","Moderado"
"30","26",1821,14686,12.399564210813,17.32276831642,0.72,"Sonora","Moderado"
"31","25",1691,13666,12.3737743304551,17.32276831642,0.71,"Sinaloa","Moderado"
"32","08",2398,20018,11.9792187031671,17.32276831642,0.69,"Chihuahua","Moderado"
