"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",1050,4609,22.7815144282925,16.1536663440493,1.41,"Tlaxcala","Alto"
"2","15",12101,59900,20.2020033388982,16.1536663440493,1.25,"México","Alto"
"3","27",1796,9038,19.8716530205798,16.1536663440493,1.23,"Tabasco","Alto"
"4","11",4513,22941,19.6722026066867,16.1536663440493,1.22,"Guanajuato","Alto"
"5","9",9110,46885,19.4305214887491,16.1536663440493,1.2,"CDMX","Alto"
"6","21",4914,26929,18.2479854432025,16.1536663440493,1.13,"Puebla","Alto"
"7","16",3714,20596,18.032627694698,16.1536663440493,1.12,"Michoacán","Alto"
"8","30",7011,40574,17.2795386207916,16.1536663440493,1.07,"Veracruz","Alto"
"9","17",1510,8807,17.145452480981,16.1536663440493,1.06,"Morelos","Alto"
"10","5",2177,13023,16.7165783613607,16.1536663440493,1.03,"Coahuila","Alto"
"11","6",511,3206,15.938864628821,16.1536663440493,0.99,"Colima","Moderado"
"12","28",2446,15410,15.8728098637249,16.1536663440493,0.98,"Tamaulipas","Moderado"
"13","13",1800,11446,15.7260178228202,16.1536663440493,0.97,"Hidalgo","Moderado"
"14","1",707,4560,15.5043859649123,16.1536663440493,0.96,"Aguascalientes","Moderado"
"15","4",514,3450,14.8985507246377,16.1536663440493,0.92,"Campeche","Moderado"
"16","14",5185,35370,14.659315804354,16.1536663440493,0.91,"Jalisco","Moderado"
"17","22",1055,7340,14.3732970027248,16.1536663440493,0.89,"Querétaro","Moderado"
"18","23",585,4074,14.359351988218,16.1536663440493,0.89,"Quintana Roo","Moderado"
"19","12",2262,15875,14.2488188976378,16.1536663440493,0.88,"Guerrero","Moderado"
"20","19",2894,21071,13.7345166342366,16.1536663440493,0.85,"Nuevo León","Moderado"
"21","2",1745,13011,13.4117285373914,16.1536663440493,0.83,"Baja California","Moderado"
"22","3",323,2416,13.3692052980132,16.1536663440493,0.83,"Baja California Sur","Moderado"
"23","20",2547,18978,13.4208030350933,16.1536663440493,0.83,"Oaxaca","Moderado"
"24","24",1576,11785,13.3729316928299,16.1536663440493,0.83,"San Luis Potosí","Moderado"
"25","18",666,5058,13.1672597864769,16.1536663440493,0.82,"Nayarit","Moderado"
"26","10",1016,7868,12.9130655821047,16.1536663440493,0.8,"Durango","Moderado"
"27","7",2485,19926,12.4711432299508,16.1536663440493,0.77,"Chiapas","Moderado"
"28","31",1200,9754,12.3026450686898,16.1536663440493,0.76,"Yucatán","Moderado"
"29","25",1546,12798,12.0800125019534,16.1536663440493,0.75,"Sinaloa","Moderado"
"30","32",899,7515,11.9627411842981,16.1536663440493,0.74,"Zacatecas","Moderado"
"31","26",1590,13411,11.8559391544255,16.1536663440493,0.73,"Sonora","Moderado"
"32","8",2170,20017,10.8407853324674,16.1536663440493,0.67,"Chihuahua","Moderado"
