"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",1146,4723,24.2642388312513,16.431433135196,1.48,"Tlaxcala","Alto"
"2","27",1968,9770,20.14329580348,16.431433135196,1.23,"Tabasco","Alto"
"3","15",12334,62232,19.8193855251318,16.431433135196,1.21,"México","Alto"
"4","11",4708,23949,19.6584408534803,16.431433135196,1.2,"Guanajuato","Alto"
"5","09",9320,47822,19.4889381456234,16.431433135196,1.19,"CDMX","Alto"
"6","21",5336,27764,19.2191326898141,16.431433135196,1.17,"Puebla","Alto"
"7","16",3903,21346,18.2844561041881,16.431433135196,1.11,"Michoacán","Alto"
"8","30",7339,41156,17.8321508407037,16.431433135196,1.09,"Veracruz","Alto"
"9","05",2305,13411,17.187383491164,16.431433135196,1.05,"Coahuila","Alto"
"10","17",1580,9123,17.3188644086375,16.431433135196,1.05,"Morelos","Alto"
"11","06",554,3236,17.1199011124845,16.431433135196,1.04,"Colima","Alto"
"12","28",2603,15560,16.7287917737789,16.431433135196,1.02,"Tamaulipas","Alto"
"13","01",764,4758,16.057166876839,16.431433135196,0.98,"Aguascalientes","Moderado"
"14","23",666,4206,15.8345221112696,16.431433135196,0.96,"Quintana Roo","Moderado"
"15","04",558,3581,15.5822395978777,16.431433135196,0.95,"Campeche","Moderado"
"16","13",1854,12024,15.4191616766467,16.431433135196,0.94,"Hidalgo","Moderado"
"17","12",2410,16059,15.0071610934678,16.431433135196,0.91,"Guerrero","Moderado"
"18","14",5415,36974,14.6454265159301,16.431433135196,0.89,"Jalisco","Moderado"
"19","22",1113,7741,14.3779873401369,16.431433135196,0.88,"Querétaro","Moderado"
"20","24",1807,12536,14.414486279515,16.431433135196,0.88,"San Luis Potosí","Moderado"
"21","19",3047,21415,14.2283446182582,16.431433135196,0.87,"Nuevo León","Moderado"
"22","20",2757,19484,14.1500718538288,16.431433135196,0.86,"Oaxaca","Moderado"
"23","10",1119,7970,14.0401505646173,16.431433135196,0.85,"Durango","Moderado"
"24","32",1048,7922,13.2289825801565,16.431433135196,0.81,"Zacatecas","Moderado"
"25","02",1854,14094,13.154533844189,16.431433135196,0.8,"Baja California","Moderado"
"26","03",318,2439,13.0381303813038,16.431433135196,0.79,"Baja California Sur","Moderado"
"27","18",691,5344,12.9303892215569,16.431433135196,0.79,"Nayarit","Moderado"
"28","07",2547,20574,12.3797025371829,16.431433135196,0.75,"Chiapas","Moderado"
"29","26",1702,13749,12.3790821150629,16.431433135196,0.75,"Sonora","Moderado"
"30","31",1246,10360,12.027027027027,16.431433135196,0.73,"Yucatán","Moderado"
"31","25",1566,13282,11.7903930131004,16.431433135196,0.72,"Sinaloa","Moderado"
"32","08",2272,20042,11.3361939926155,16.431433135196,0.69,"Chihuahua","Moderado"
