"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",1307,8399,15.5613763543279,11.255904172912,1.38,"Coahuila","Alto"
"2","09",6210,40391,15.3747121883588,11.255904172912,1.37,"CDMX","Alto"
"3","28",1422,10141,14.0222857706341,11.255904172912,1.25,"Tamaulipas","Alto"
"4","01",464,3453,13.4375905010136,11.255904172912,1.19,"Aguascalientes","Alto"
"5","11",2474,19279,12.8326157995747,11.255904172912,1.14,"Guanajuato","Alto"
"6","15",5840,46754,12.4909098686743,11.255904172912,1.11,"México","Alto"
"7","10",650,5354,12.1404557340306,11.255904172912,1.08,"Durango","Alto"
"8","14",3353,27947,11.9977099509786,11.255904172912,1.07,"Jalisco","Alto"
"9","17",734,6094,12.0446340662947,11.255904172912,1.07,"Morelos","Alto"
"10","19",1684,14152,11.8993781797626,11.255904172912,1.06,"Nuevo León","Alto"
"11","29",470,4080,11.5196078431373,11.255904172912,1.02,"Tlaxcala","Alto"
"12","06",236,2115,11.1583924349882,11.255904172912,0.99,"Colima","Moderado"
"13","02",1124,10177,11.0445121352068,11.255904172912,0.98,"Baja California","Moderado"
"14","26",1066,9664,11.0306291390728,11.255904172912,0.98,"Sonora","Moderado"
"15","03",164,1501,10.9260493004664,11.255904172912,0.97,"Baja California Sur","Moderado"
"16","16",1815,16662,10.8930500540151,11.255904172912,0.97,"Michoacán","Moderado"
"17","30",3154,29568,10.6669372294372,11.255904172912,0.95,"Veracruz","Moderado"
"18","22",557,5310,10.4896421845574,11.255904172912,0.93,"Querétaro","Moderado"
"19","18",383,3715,10.3095558546433,11.255904172912,0.92,"Nayarit","Moderado"
"20","27",679,6591,10.3019268699742,11.255904172912,0.92,"Tabasco","Moderado"
"21","25",950,9320,10.1931330472103,11.255904172912,0.91,"Sinaloa","Moderado"
"22","08",1395,14122,9.87820422036539,11.255904172912,0.88,"Chihuahua","Moderado"
"23","13",884,9154,9.65698055494866,11.255904172912,0.86,"Hidalgo","Moderado"
"24","21",2384,24785,9.6187210006052,11.255904172912,0.85,"Puebla","Moderado"
"25","04",218,2326,9.37231298366294,11.255904172912,0.83,"Campeche","Moderado"
"26","32",541,5782,9.35662400553442,11.255904172912,0.83,"Zacatecas","Moderado"
"27","12",894,9799,9.12337993672824,11.255904172912,0.81,"Guerrero","Moderado"
"28","24",830,9494,8.74236359806193,11.255904172912,0.78,"San Luis Potosí","Moderado"
"29","31",609,7398,8.23195458231955,11.255904172912,0.73,"Yucatán","Moderado"
"30","23",159,2192,7.2536496350365,11.255904172912,0.64,"Quintana Roo","Moderado"
"31","20",1114,16960,6.56839622641509,11.255904172912,0.58,"Oaxaca","Moderado"
"32","07",918,14286,6.42587148257035,11.255904172912,0.57,"Chiapas","Moderado"
