"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","09",6982,40002,17.4541272936353,13.3701920218774,1.31,"CDMX","Alto"
"2","05",1626,9404,17.2905146746065,13.3701920218774,1.29,"Coahuila","Alto"
"3","28",1691,10279,16.4510166358595,13.3701920218774,1.23,"Tamaulipas","Alto"
"4","11",3021,19264,15.6821013289037,13.3701920218774,1.17,"Guanajuato","Alto"
"5","15",7195,47448,15.1639689765638,13.3701920218774,1.13,"México","Alto"
"6","29",585,4048,14.451581027668,13.3701920218774,1.08,"Tlaxcala","Alto"
"7","01",539,3762,14.327485380117,13.3701920218774,1.07,"Aguascalientes","Alto"
"8","17",884,6329,13.9674514141255,13.3701920218774,1.04,"Morelos","Alto"
"9","27",929,6733,13.7977127580573,13.3701920218774,1.03,"Tabasco","Alto"
"10","16",2278,16806,13.5546828513626,13.3701920218774,1.01,"Michoacán","Alto"
"11","10",744,5564,13.371675053918,13.3701920218774,1,"Durango","Moderado"
"12","14",3774,28565,13.2119726938561,13.3701920218774,0.99,"Jalisco","Moderado"
"13","19",1961,14888,13.1716818914562,13.3701920218774,0.99,"Nuevo León","Moderado"
"14","21",3140,23620,13.2938187976291,13.3701920218774,0.99,"Puebla","Moderado"
"15","06",292,2220,13.1531531531532,13.3701920218774,0.98,"Colima","Moderado"
"16","30",3971,30245,13.1294428831212,13.3701920218774,0.98,"Veracruz","Moderado"
"17","04",306,2444,12.5204582651391,13.3701920218774,0.94,"Campeche","Moderado"
"18","25",1203,9595,12.5377800937989,13.3701920218774,0.94,"Sinaloa","Moderado"
"19","22",687,5501,12.4886384293765,13.3701920218774,0.93,"Querétaro","Moderado"
"20","26",1147,9848,11.6470349309504,13.3701920218774,0.87,"Sonora","Moderado"
"21","13",1033,9118,11.3292388681728,13.3701920218774,0.85,"Hidalgo","Moderado"
"22","02",1144,10221,11.1926425985716,13.3701920218774,0.84,"Baja California","Moderado"
"23","12",1094,9788,11.1769513690233,13.3701920218774,0.84,"Guerrero","Moderado"
"24","18",457,4051,11.2811651444088,13.3701920218774,0.84,"Nayarit","Moderado"
"25","24",1067,9468,11.2695395014787,13.3701920218774,0.84,"San Luis Potosí","Moderado"
"26","31",849,7832,10.8401430030644,13.3701920218774,0.81,"Yucatán","Moderado"
"27","03",168,1617,10.3896103896104,13.3701920218774,0.78,"Baja California Sur","Moderado"
"28","08",1523,14971,10.1730011355287,13.3701920218774,0.76,"Chihuahua","Moderado"
"29","32",624,6202,10.0612705578846,13.3701920218774,0.75,"Zacatecas","Moderado"
"30","07",1365,15059,9.06434690218474,13.3701920218774,0.68,"Chiapas","Moderado"
"31","20",1499,16458,9.10803256774821,13.3701920218774,0.68,"Oaxaca","Moderado"
"32","23",198,2354,8.41121495327103,13.3701920218774,0.63,"Quintana Roo","Moderado"
