"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",2158,10219,21.1175261767296,15.4315506096906,1.37,"Coahuila","Alto"
"2","09",8156,41726,19.5465656904568,15.4315506096906,1.27,"CDMX","Alto"
"3","11",3503,19899,17.6038996934519,15.4315506096906,1.14,"Guanajuato","Alto"
"4","15",8720,50176,17.3788265306122,15.4315506096906,1.13,"México","Alto"
"5","28",1982,11505,17.2272924815298,15.4315506096906,1.12,"Tamaulipas","Alto"
"6","21",4092,24073,16.9982968470901,15.4315506096906,1.1,"Puebla","Alto"
"7","10",1046,6394,16.3590866437285,15.4315506096906,1.06,"Durango","Alto"
"8","29",654,4060,16.1083743842365,15.4315506096906,1.04,"Tlaxcala","Alto"
"9","16",2815,17699,15.904853381547,15.4315506096906,1.03,"Michoacán","Alto"
"10","27",1193,7531,15.8411897490373,15.4315506096906,1.03,"Tabasco","Alto"
"11","06",369,2390,15.4393305439331,15.4315506096906,1,"Colima","Moderado"
"12","14",4514,29603,15.2484545485255,15.4315506096906,0.99,"Jalisco","Moderado"
"13","17",1025,6798,15.0779641070903,15.4315506096906,0.98,"Morelos","Moderado"
"14","19",2511,16748,14.992834965369,15.4315506096906,0.97,"Nuevo León","Moderado"
"15","30",4898,32979,14.8518754358834,15.4315506096906,0.96,"Veracruz","Moderado"
"16","01",562,3869,14.5257172395968,15.4315506096906,0.94,"Aguascalientes","Moderado"
"17","12",1458,10193,14.3039340724026,15.4315506096906,0.93,"Guerrero","Moderado"
"18","08",2105,15134,13.9090788952029,15.4315506096906,0.9,"Chihuahua","Moderado"
"19","13",1309,9646,13.5703918722787,15.4315506096906,0.88,"Hidalgo","Moderado"
"20","22",798,5880,13.5714285714286,15.4315506096906,0.88,"Querétaro","Moderado"
"21","24",1320,9933,13.2890365448505,15.4315506096906,0.86,"San Luis Potosí","Moderado"
"22","25",1356,10228,13.2577238951897,15.4315506096906,0.86,"Sinaloa","Moderado"
"23","32",814,6207,13.1142258740132,15.4315506096906,0.85,"Zacatecas","Moderado"
"24","02",1458,11237,12.9749933256207,15.4315506096906,0.84,"Baja California","Moderado"
"25","18",537,4271,12.5731678763756,15.4315506096906,0.81,"Nayarit","Moderado"
"26","04",328,2691,12.1887774061687,15.4315506096906,0.79,"Campeche","Moderado"
"27","31",999,8170,12.2276621787026,15.4315506096906,0.79,"Yucatán","Moderado"
"28","26",1338,11063,12.0943686161077,15.4315506096906,0.78,"Sonora","Moderado"
"29","23",336,2870,11.7073170731707,15.4315506096906,0.76,"Quintana Roo","Moderado"
"30","20",1889,17019,11.0993595393384,15.4315506096906,0.72,"Oaxaca","Moderado"
"31","07",1600,15811,10.1195370311808,15.4315506096906,0.66,"Chiapas","Moderado"
"32","03",192,1900,10.1052631578947,15.4315506096906,0.65,"Baja California Sur","Moderado"
