"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","09",6345,39684,15.9888116117327,11.7269618268908,1.36,"CDMX","Alto"
"2","05",1384,8845,15.6472583380441,11.7269618268908,1.33,"Coahuila","Alto"
"3","29",531,3722,14.2665233745298,11.7269618268908,1.22,"Tlaxcala","Alto"
"4","28",1451,10268,14.1312816517335,11.7269618268908,1.21,"Tamaulipas","Alto"
"5","11",2559,18842,13.5813607897251,11.7269618268908,1.16,"Guanajuato","Alto"
"6","15",6069,46495,13.0530164533821,11.7269618268908,1.11,"México","Alto"
"7","10",645,5054,12.7621685793431,11.7269618268908,1.09,"Durango","Alto"
"8","17",738,5965,12.3721709974853,11.7269618268908,1.06,"Morelos","Alto"
"9","01",398,3330,11.951951951952,11.7269618268908,1.02,"Aguascalientes","Alto"
"10","16",1952,16352,11.9373776908023,11.7269618268908,1.02,"Michoacán","Alto"
"11","03",175,1522,11.4980289093298,11.7269618268908,0.98,"Baja California Sur","Moderado"
"12","14",3194,27742,11.5132290390022,11.7269618268908,0.98,"Jalisco","Moderado"
"13","30",3278,28649,11.4419351460784,11.7269618268908,0.98,"Veracruz","Moderado"
"14","27",730,6458,11.3038092288634,11.7269618268908,0.96,"Tabasco","Moderado"
"15","21",2619,23415,11.1851377322229,11.7269618268908,0.95,"Puebla","Moderado"
"16","13",901,8212,10.9717486604968,11.7269618268908,0.94,"Hidalgo","Moderado"
"17","22",601,5427,11.0742583379399,11.7269618268908,0.94,"Querétaro","Moderado"
"18","19",1583,14539,10.8879565307105,11.7269618268908,0.93,"Nuevo León","Moderado"
"19","02",1107,10257,10.7926294238081,11.7269618268908,0.92,"Baja California","Moderado"
"20","25",975,9078,10.7402511566424,11.7269618268908,0.92,"Sinaloa","Moderado"
"21","06",230,2182,10.5407882676444,11.7269618268908,0.9,"Colima","Moderado"
"22","26",996,9472,10.5152027027027,11.7269618268908,0.9,"Sonora","Moderado"
"23","18",381,3706,10.2806260118726,11.7269618268908,0.88,"Nayarit","Moderado"
"24","24",921,9111,10.1086598617056,11.7269618268908,0.86,"San Luis Potosí","Moderado"
"25","12",903,9529,9.47633539720852,11.7269618268908,0.81,"Guerrero","Moderado"
"26","08",1301,14057,9.25517535747315,11.7269618268908,0.79,"Chihuahua","Moderado"
"27","32",540,5800,9.31034482758621,11.7269618268908,0.79,"Zacatecas","Moderado"
"28","04",203,2323,8.73869995695222,11.7269618268908,0.75,"Campeche","Moderado"
"29","31",636,7424,8.56681034482759,11.7269618268908,0.73,"Yucatán","Moderado"
"30","07",1062,14191,7.4836163765767,11.7269618268908,0.64,"Chiapas","Moderado"
"31","20",1161,15931,7.28767811185738,11.7269618268908,0.62,"Oaxaca","Moderado"
"32","23",140,2195,6.37813211845103,11.7269618268908,0.54,"Quintana Roo","Moderado"
