"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",1154,4777,24.1574209755076,17.1116916007753,1.41,"Tlaxcala","Alto"
"2","27",2121,9999,21.2121212121212,17.1116916007753,1.24,"Tabasco","Alto"
"3","11",5109,24365,20.9686025035912,17.1116916007753,1.23,"Guanajuato","Alto"
"4","15",13297,63284,21.0116301118766,17.1116916007753,1.23,"México","Alto"
"5","21",5546,28184,19.6778313936986,17.1116916007753,1.15,"Puebla","Alto"
"6","30",8125,41315,19.6659808786155,17.1116916007753,1.15,"Veracruz","Alto"
"7","09",9621,49249,19.5354220390262,17.1116916007753,1.14,"CDMX","Alto"
"8","17",1695,8928,18.9852150537634,17.1116916007753,1.11,"Morelos","Alto"
"9","16",3882,20958,18.5227598053249,17.1116916007753,1.08,"Michoacán","Alto"
"10","05",2528,13938,18.1374659205051,17.1116916007753,1.06,"Coahuila","Alto"
"11","06",568,3222,17.6288019863439,17.1116916007753,1.03,"Colima","Alto"
"12","28",2769,15842,17.4788536800909,17.1116916007753,1.02,"Tamaulipas","Alto"
"13","23",708,4337,16.3246483744524,17.1116916007753,0.95,"Quintana Roo","Moderado"
"14","01",771,4796,16.0758965804837,17.1116916007753,0.94,"Aguascalientes","Moderado"
"15","12",2431,15109,16.0897478324178,17.1116916007753,0.94,"Guerrero","Moderado"
"16","04",579,3670,15.7765667574932,17.1116916007753,0.92,"Campeche","Moderado"
"17","13",1901,12241,15.529776979005,17.1116916007753,0.91,"Hidalgo","Moderado"
"18","14",5603,36657,15.2849387565813,17.1116916007753,0.89,"Jalisco","Moderado"
"19","22",1197,7923,15.1079136690647,17.1116916007753,0.88,"Querétaro","Moderado"
"20","19",3154,21527,14.6513680494263,17.1116916007753,0.86,"Nuevo León","Moderado"
"21","24",1863,12680,14.692429022082,17.1116916007753,0.86,"San Luis Potosí","Moderado"
"22","32",1110,7595,14.6148782093483,17.1116916007753,0.85,"Zacatecas","Moderado"
"23","20",2874,19924,14.4248142943184,17.1116916007753,0.84,"Oaxaca","Moderado"
"24","18",715,5300,13.4905660377358,17.1116916007753,0.79,"Nayarit","Moderado"
"25","07",2891,21677,13.3367163352862,17.1116916007753,0.78,"Chiapas","Moderado"
"26","02",1879,14319,13.1224247503317,17.1116916007753,0.77,"Baja California","Moderado"
"27","10",1045,7905,13.2194813409235,17.1116916007753,0.77,"Durango","Moderado"
"28","31",1318,10501,12.5511856013713,17.1116916007753,0.73,"Yucatán","Moderado"
"29","26",1735,14306,12.1277785544527,17.1116916007753,0.71,"Sonora","Moderado"
"30","03",302,2524,11.9651347068146,17.1116916007753,0.7,"Baja California Sur","Moderado"
"31","25",1584,13297,11.9124614574716,17.1116916007753,0.7,"Sinaloa","Moderado"
"32","08",2355,19808,11.8891357027464,17.1116916007753,0.69,"Chihuahua","Moderado"
