"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",966,4569,21.1424819435325,16.0176475092626,1.32,"Tlaxcala","Alto"
"2","15",11503,56783,20.2578236444006,16.0176475092626,1.26,"México","Alto"
"3","09",9051,46055,19.6525892954077,16.0176475092626,1.23,"CDMX","Alto"
"4","11",4282,22850,18.7396061269147,16.0176475092626,1.17,"Guanajuato","Alto"
"5","17",1526,8238,18.5239135712552,16.0176475092626,1.16,"Morelos","Alto"
"6","27",1726,9430,18.3032873806999,16.0176475092626,1.14,"Tabasco","Alto"
"7","21",4726,26305,17.9661661281125,16.0176475092626,1.12,"Puebla","Alto"
"8","05",2176,12417,17.5243617621003,16.0176475092626,1.09,"Coahuila","Alto"
"9","16",3556,20606,17.2571095797341,16.0176475092626,1.08,"Michoacán","Alto"
"10","28",2528,14672,17.2300981461287,16.0176475092626,1.08,"Tamaulipas","Alto"
"11","30",6609,38470,17.1796204834936,16.0176475092626,1.07,"Veracruz","Alto"
"12","13",1759,11231,15.6620069450628,16.0176475092626,0.98,"Hidalgo","Moderado"
"13","14",5219,33966,15.3653653653654,16.0176475092626,0.96,"Jalisco","Moderado"
"14","01",682,4495,15.1724137931034,16.0176475092626,0.95,"Aguascalientes","Moderado"
"15","04",500,3320,15.0602409638554,16.0176475092626,0.94,"Campeche","Moderado"
"16","22",1028,6936,14.8212226066897,16.0176475092626,0.93,"Querétaro","Moderado"
"17","06",406,2817,14.4124955626553,16.0176475092626,0.9,"Colima","Moderado"
"18","12",2084,14388,14.4842924659438,16.0176475092626,0.9,"Guerrero","Moderado"
"19","19",2913,20203,14.4186506954413,16.0176475092626,0.9,"Nuevo León","Moderado"
"20","23",545,3891,14.0066820868671,16.0176475092626,0.87,"Quintana Roo","Moderado"
"21","24",1632,11658,13.9989706639218,16.0176475092626,0.87,"San Luis Potosí","Moderado"
"22","20",2523,19198,13.1419939577039,16.0176475092626,0.82,"Oaxaca","Moderado"
"23","18",684,5251,13.0260902685203,16.0176475092626,0.81,"Nayarit","Moderado"
"24","02",1750,13650,12.8205128205128,16.0176475092626,0.8,"Baja California","Moderado"
"25","26",1639,13277,12.3446561723281,16.0176475092626,0.77,"Sonora","Moderado"
"26","03",264,2170,12.1658986175115,16.0176475092626,0.76,"Baja California Sur","Moderado"
"27","32",913,7460,12.2386058981233,16.0176475092626,0.76,"Zacatecas","Moderado"
"28","31",1198,9974,12.0112291959094,16.0176475092626,0.75,"Yucatán","Moderado"
"29","10",983,8238,11.9325078902646,16.0176475092626,0.74,"Durango","Moderado"
"30","07",2278,19443,11.716298925063,16.0176475092626,0.73,"Chiapas","Moderado"
"31","25",1560,13907,11.2173725461998,16.0176475092626,0.7,"Sinaloa","Moderado"
"32","08",2370,23439,10.1113528734161,16.0176475092626,0.63,"Chihuahua","Moderado"
