"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",1284,5318,24.1444151936818,17.8105700181078,1.36,"Tlaxcala","Alto"
"2","27",2512,10751,23.3652683471305,17.8105700181078,1.31,"Tabasco","Alto"
"3","15",14763,67588,21.8426347872403,17.8105700181078,1.23,"México","Alto"
"4","21",6441,29912,21.5331639475796,17.8105700181078,1.21,"Puebla","Alto"
"5","11",5490,26712,20.5525606469003,17.8105700181078,1.15,"Guanajuato","Alto"
"6","30",9014,44735,20.1497708729183,17.8105700181078,1.13,"Veracruz","Alto"
"7","5",2713,13892,19.5292254534984,17.8105700181078,1.1,"Coahuila","Alto"
"8","17",2033,10407,19.5349284135678,17.8105700181078,1.1,"Morelos","Alto"
"9","4",800,4132,19.3610842207164,17.8105700181078,1.09,"Campeche","Alto"
"10","9",10097,52133,19.3677708936758,17.8105700181078,1.09,"CDMX","Alto"
"11","16",4403,22735,19.3666153507807,17.8105700181078,1.09,"Michoacán","Alto"
"12","28",3041,16293,18.6644571288283,17.8105700181078,1.05,"Tamaulipas","Alto"
"13","12",2993,17277,17.3236094229322,17.8105700181078,0.97,"Guerrero","Moderado"
"14","23",917,5315,17.2530573847601,17.8105700181078,0.97,"Quintana Roo","Moderado"
"15","13",2245,13146,17.0774380039556,17.8105700181078,0.96,"Hidalgo","Moderado"
"16","22",1361,8516,15.9816815406294,17.8105700181078,0.9,"Querétaro","Moderado"
"17","14",6313,39697,15.9029649595687,17.8105700181078,0.89,"Jalisco","Moderado"
"18","20",3386,21396,15.8253879229763,17.8105700181078,0.89,"Oaxaca","Moderado"
"19","1",797,5113,15.5877175826325,17.8105700181078,0.88,"Aguascalientes","Moderado"
"20","19",3458,22571,15.3205440609632,17.8105700181078,0.86,"Nuevo León","Moderado"
"21","32",1259,8349,15.0796502575159,17.8105700181078,0.85,"Zacatecas","Moderado"
"22","7",3485,23206,15.017667844523,17.8105700181078,0.84,"Chiapas","Moderado"
"23","24",1954,13022,15.0053755183536,17.8105700181078,0.84,"San Luis Potosí","Moderado"
"24","6",569,3917,14.5264232831248,17.8105700181078,0.82,"Colima","Moderado"
"25","18",831,5724,14.517819706499,17.8105700181078,0.82,"Nayarit","Moderado"
"26","2",2232,16021,13.9317146245553,17.8105700181078,0.78,"Baja California","Moderado"
"27","10",1151,8419,13.6714574177456,17.8105700181078,0.77,"Durango","Moderado"
"28","31",1532,11548,13.2663664703845,17.8105700181078,0.74,"Yucatán","Moderado"
"29","3",355,2828,12.5530410183876,17.8105700181078,0.7,"Baja California Sur","Moderado"
"30","25",1799,14329,12.5549584758183,17.8105700181078,0.7,"Sinaloa","Moderado"
"31","26",1794,15013,11.9496436421768,17.8105700181078,0.67,"Sonora","Moderado"
"32","8",2451,20949,11.6998424745811,17.8105700181078,0.66,"Chihuahua","Moderado"
