"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","09",6640,39987,16.605396753945,12.4855249531952,1.33,"CDMX","Alto"
"2","05",1456,9292,15.6693930262591,12.4855249531952,1.26,"Coahuila","Alto"
"3","28",1558,10238,15.2178159796835,12.4855249531952,1.22,"Tamaulipas","Alto"
"4","11",2593,17782,14.5821617365876,12.4855249531952,1.17,"Guanajuato","Alto"
"5","29",563,3924,14.3476044852192,12.4855249531952,1.15,"Tlaxcala","Alto"
"6","15",6614,46701,14.1624376351684,12.4855249531952,1.13,"México","Alto"
"7","01",461,3365,13.6998514115899,12.4855249531952,1.1,"Aguascalientes","Alto"
"8","10",686,5216,13.1518404907975,12.4855249531952,1.05,"Durango","Alto"
"9","06",278,2171,12.8051589129433,12.4855249531952,1.03,"Colima","Alto"
"10","21",2928,22838,12.8207373675453,12.4855249531952,1.03,"Puebla","Alto"
"11","16",2064,16213,12.730524887436,12.4855249531952,1.02,"Michoacán","Alto"
"12","30",3726,29477,12.6403636733725,12.4855249531952,1.01,"Veracruz","Alto"
"13","17",756,6039,12.5186289120715,12.4855249531952,1,"Morelos","Moderado"
"14","27",842,6794,12.3932881954666,12.4855249531952,0.99,"Tabasco","Moderado"
"15","14",3320,27421,12.107508843587,12.4855249531952,0.97,"Jalisco","Moderado"
"16","25",1066,8968,11.8867082961641,12.4855249531952,0.95,"Sinaloa","Moderado"
"17","13",1017,8676,11.7219917012448,12.4855249531952,0.94,"Hidalgo","Moderado"
"18","26",1121,9691,11.5674337013724,12.4855249531952,0.93,"Sonora","Moderado"
"19","03",183,1599,11.4446529080675,12.4855249531952,0.92,"Baja California Sur","Moderado"
"20","24",978,8987,10.8823856681874,12.4855249531952,0.87,"San Luis Potosí","Moderado"
"21","22",574,5448,10.5359765051395,12.4855249531952,0.84,"Querétaro","Moderado"
"22","12",1004,9711,10.3387910616826,12.4855249531952,0.83,"Guerrero","Moderado"
"23","19",1530,14756,10.36866359447,12.4855249531952,0.83,"Nuevo León","Moderado"
"24","02",1032,10058,10.2604891628554,12.4855249531952,0.82,"Baja California","Moderado"
"25","08",1471,14434,10.1912151863655,12.4855249531952,0.82,"Chihuahua","Moderado"
"26","32",575,5785,9.93949870354365,12.4855249531952,0.8,"Zacatecas","Moderado"
"27","18",367,3769,9.73733085699124,12.4855249531952,0.78,"Nayarit","Moderado"
"28","04",214,2279,9.39008336989908,12.4855249531952,0.75,"Campeche","Moderado"
"29","31",699,7658,9.12770958474798,12.4855249531952,0.73,"Yucatán","Moderado"
"30","23",198,2295,8.62745098039216,12.4855249531952,0.69,"Quintana Roo","Moderado"
"31","20",1346,15757,8.54223519705528,12.4855249531952,0.68,"Oaxaca","Moderado"
"32","07",1090,14725,7.40237691001698,12.4855249531952,0.59,"Chiapas","Moderado"
