"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",2084,9871,21.112349306048,15.7999014061363,1.34,"Coahuila","Alto"
"2","09",8339,41555,20.0673805799543,15.7999014061363,1.27,"CDMX","Alto"
"3","15",9175,49824,18.4148201669878,15.7999014061363,1.17,"México","Alto"
"4","11",3558,19415,18.3260365696626,15.7999014061363,1.16,"Guanajuato","Alto"
"5","21",4230,23369,18.1009029055586,15.7999014061363,1.15,"Puebla","Alto"
"6","28",2049,11803,17.3599932220622,15.7999014061363,1.1,"Tamaulipas","Alto"
"7","29",730,4201,17.3768150440371,15.7999014061363,1.1,"Tlaxcala","Alto"
"8","10",1083,6305,17.1768437747819,15.7999014061363,1.09,"Durango","Alto"
"9","17",1165,6795,17.1449595290655,15.7999014061363,1.09,"Morelos","Alto"
"10","01",622,3866,16.0889808587688,15.7999014061363,1.02,"Aguascalientes","Alto"
"11","06",388,2443,15.8821121571838,15.7999014061363,1.01,"Colima","Alto"
"12","16",2798,17858,15.6680479336992,15.7999014061363,0.99,"Michoacán","Moderado"
"13","27",1182,7696,15.3586278586279,15.7999014061363,0.97,"Tabasco","Moderado"
"14","14",4446,29192,15.2302000548095,15.7999014061363,0.96,"Jalisco","Moderado"
"15","30",4921,32483,15.149462795924,15.7999014061363,0.96,"Veracruz","Moderado"
"16","19",2342,16313,14.3566480720897,15.7999014061363,0.91,"Nuevo León","Moderado"
"17","22",845,5871,14.392778061659,15.7999014061363,0.91,"Querétaro","Moderado"
"18","13",1361,9565,14.2289597490852,15.7999014061363,0.9,"Hidalgo","Moderado"
"19","18",593,4155,14.2719614921781,15.7999014061363,0.9,"Nayarit","Moderado"
"20","25",1450,10340,14.0232108317215,15.7999014061363,0.89,"Sinaloa","Moderado"
"21","02",1511,11185,13.5091640590076,15.7999014061363,0.86,"Baja California","Moderado"
"22","12",1390,10266,13.5398402493668,15.7999014061363,0.86,"Guerrero","Moderado"
"23","24",1354,10000,13.54,15.7999014061363,0.86,"San Luis Potosí","Moderado"
"24","08",2079,15884,13.0886426592798,15.7999014061363,0.83,"Chihuahua","Moderado"
"25","32",800,6132,13.0463144161774,15.7999014061363,0.83,"Zacatecas","Moderado"
"26","26",1386,10855,12.7683095347766,15.7999014061363,0.81,"Sonora","Moderado"
"27","03",241,1930,12.4870466321244,15.7999014061363,0.79,"Baja California Sur","Moderado"
"28","04",340,2744,12.3906705539359,15.7999014061363,0.78,"Campeche","Moderado"
"29","23",341,2763,12.3416576185306,15.7999014061363,0.78,"Quintana Roo","Moderado"
"30","31",976,8525,11.4486803519062,15.7999014061363,0.72,"Yucatán","Moderado"
"31","20",1773,16253,10.9087553067126,15.7999014061363,0.69,"Oaxaca","Moderado"
"32","07",1754,16533,10.6090848605819,15.7999014061363,0.67,"Chiapas","Moderado"
